"position_prop";"participant";"item_no";"item_name";"list";"condition";"about_rate1.response";"about_rate2.response";"certainty_rate.response";"about1";"about2"
"[[0,-0.08],[0,-0.25]]";"668544";"f1";"filler";3;"exp_salt";0.786909088;0.225122466;0.859099099;0.786909088;0.225122466
"[[0,-0.25],[0,-0.08]]";"668544";"f2";"filler";3;"reason_modal";0.80449382;0.806344903;0.136273203;0.806344903;0.80449382
"[[0,-0.25],[0,-0.08]]";"668544";"f3";"filler";3;"reason_rc";0.17329375;0.744335416;0.871130829;0.744335416;0.17329375
"[[0,-0.25],[0,-0.08]]";"668544";"f4";"filler";3;"probl_sol_modal";0.078891362;0.891492124;0.769324356;0.891492124;0.078891362
"[[0,-0.08],[0,-0.25]]";"668544";"f5";"filler";3;"probl_sol_rc";0.258440971;0.83133372;0.891492124;0.258440971;0.83133372
"[[0,-0.25],[0,-0.08]]";"668544";"t12";"discover2.2";3;"c";0.263994034;0.682326053;0.845216409;0.682326053;0.263994034
"[[0,-0.25],[0,-0.08]]";"668544";"t15";"realize2.1";3;"nc";0.169591708;0.512957153;0.888715561;0.512957153;0.169591708
"[[0,-0.08],[0,-0.25]]";"668544";"t20";"notice2.2";3;"c";0.748037582;0.281578828;0.888715561;0.748037582;0.281578828
"[[0,-0.08],[0,-0.25]]";"668544";"t23";"aware2.1";3;"nc";0.757292626;0.539797053;0.897045125;0.757292626;0.539797053
"[[0,-0.25],[0,-0.08]]";"668544";"t28";"know2.2";3;"c";0.74526102;0.607359479;0.868354267;0.607359479;0.74526102
"[[0,-0.08],[0,-0.25]]";"719344";"c1";"filler";3;"control";0.266666667;0.288888889;0.13148151;0.266666667;0.288888889
"[[0,-0.25],[0,-0.08]]";"719344";"c2";"filler";3;"control";0.047222222;0.724074131;0.994444444;0.724074131;0.047222222
"[[0,-0.25],[0,-0.08]]";"719344";"f1";"filler";3;"exp_salt";0.579629686;0.600925954;0.5;0.600925954;0.579629686
"[[0,-0.08],[0,-0.25]]";"719344";"f2";"filler";3;"reason_modal";0.486111111;0.784259288;0.647222222;0.486111111;0.784259288
"[[0,-0.08],[0,-0.25]]";"719344";"f3";"filler";3;"reason_rc";0.689814843;0.639814843;0.978703732;0.689814843;0.639814843
"[[0,-0.08],[0,-0.25]]";"719344";"f4";"filler";3;"probl_sol_modal";0.324074131;0.612037065;0.079629644;0.324074131;0.612037065
"[[0,-0.08],[0,-0.25]]";"719344";"f5";"filler";3;"probl_sol_rc";0.798148176;0.805555556;0.164814843;0.798148176;0.805555556
"[[0,-0.08],[0,-0.25]]";"719344";"t12";"discover2.2";3;"c";0.129629644;0.744444444;0.019444444;0.129629644;0.744444444
"[[0,-0.08],[0,-0.25]]";"719344";"t15";"realize2.1";3;"nc";0.173148176;0.612963019;0.825925954;0.173148176;0.612963019
"[[0,-0.25],[0,-0.08]]";"719344";"t20";"notice2.2";3;"c";0.674074131;0.630555556;1;0.630555556;0.674074131
"[[0,-0.25],[0,-0.08]]";"719344";"t23";"aware2.1";3;"nc";0.220370399;0.094444444;0;0.094444444;0.220370399
"[[0,-0.25],[0,-0.08]]";"719344";"t28";"know2.2";3;"c";0.820370399;0.821296353;1;0.821296353;0.820370399
"[[0,-0.08],[0,-0.25]]";"813172";"c1";"filler";5;"control";0.6796875;0.346354167;0.748697917;0.6796875;0.346354167
"[[0,-0.25],[0,-0.08]]";"813172";"c2";"filler";5;"control";0.78515625;0.567708333;0.713541667;0.567708333;0.78515625
"[[0,-0.25],[0,-0.08]]";"813172";"f1";"filler";5;"exp_salt";0.731770833;0.39453125;0.884114583;0.39453125;0.731770833
"[[0,-0.25],[0,-0.08]]";"813172";"f2";"filler";5;"reason_modal";0.9453125;0.225260417;0.618489583;0.225260417;0.9453125
"[[0,-0.25],[0,-0.08]]";"813172";"f3";"filler";5;"reason_rc";0.329427083;0.94140625;0.944010417;0.94140625;0.329427083
"[[0,-0.08],[0,-0.25]]";"813172";"f4";"filler";5;"probl_sol_modal";0.694010417;NA;0.647135417;0.694010417;0.5
"[[0,-0.08],[0,-0.25]]";"813172";"f5";"filler";5;"probl_sol_rc";0.25390625;0.805989583;0.6171875;0.25390625;0.805989583
"[[0,-0.08],[0,-0.25]]";"813172";"t13";"discover3.1";5;"nc";0.178385417;0.388020833;0.591145833;0.178385417;0.388020833
"[[0,-0.08],[0,-0.25]]";"813172";"t18";"realize3.2";5;"c";0.170572917;0.802083333;0.342447917;0.170572917;0.802083333
"[[0,-0.08],[0,-0.25]]";"813172";"t21";"notice3.1";5;"nc";0.395833333;0.661458333;0.3515625;0.395833333;0.661458333
"[[0,-0.08],[0,-0.25]]";"813172";"t26";"aware3.2";5;"c";0.580729167;0.188802083;0.348958333;0.580729167;0.188802083
"[[0,-0.08],[0,-0.25]]";"813172";"t29";"know3.1";5;"nc";0.401041667;0.645833333;0.393229167;0.401041667;0.645833333
