"participant";"item_no";"list";"condition";"exp";"cer";"pair";"verb";"item_name"
"164966";"t1";1;"c";0.192708333;0.5234375;"realize1";"realize";"realize1.1"
"164966";"t4";1;"nc";0.5;0.747395833;"notice1";"notice";"notice1.1"
"164966";"t5";1;"c";0.290364583;0.997395833;"discover1";"discover";"discover1.2"
"164966";"t9";1;"c";0.921875;0.72265625;"know1";"know";"know1.2"
"179889";"t16";4;"c";0.346296296;0.537037037;"realize2";"realize";"realize2.2"
"179889";"t19";4;"nc";0.633333333;0.17037037;"notice2";"notice";"notice2.1"
"179889";"t27";4;"nc";0.522222222;0.628703704;"know2";"know";"know2.1"
"184643";"t14";6;"c";0.021484375;0.327148438;"discover3";"discover";"discover3.2"
"184643";"t17";6;"nc";0.626953125;0;"realize3";"realize";"realize3.1"
"184643";"t22";6;"c";0.217773438;0.935546875;"notice3";"notice";"notice3.2"
"184643";"t30";6;"c";0.033203125;1;"know3";"know";"know3.2"
"195078";"t1";1;"c";0.942411195;0.648546825;"realize1";"realize";"realize1.1"
"195078";"t4";1;"nc";0.229817008;0.327771798;"notice1";"notice";"notice1.1"
"195078";"t5";1;"c";0.860602799;1;"discover1";"discover";"discover1.2"
"195078";"t9";1;"c";0.668998924;0.635629709;"know1";"know";"know1.2"
"196007";"t14";6;"c";1;0.807790799;"discover3";"discover";"discover3.2"
"196007";"t17";6;"nc";0.240917969;0.75260055;"realize3";"realize";"realize3.1"
"196007";"t22";6;"c";0.768630642;1;"notice3";"notice";"notice3.2"
"196007";"t30";6;"c";0.76234809;0.818004919;"know3";"know";"know3.2"
"201370";"t16";4;"c";0.597916667;0.579861111;"realize2";"realize";"realize2.2"
"201370";"t19";4;"nc";0.584027778;0.045833333;"notice2";"notice";"notice2.1"
"201370";"t27";4;"nc";0.535416667;0.120138889;"know2";"know";"know2.1"
"212833";"t16";4;"c";0;1;"realize2";"realize";"realize2.2"
"212833";"t19";4;"nc";0;0.182944124;"notice2";"notice";"notice2.1"
"212833";"t27";4;"nc";0;0.179012398;"know2";"know";"know2.1"
"213631";"t16";4;"c";0.560447049;0.869852431;"realize2";"realize";"realize2.2"
"213631";"t19";4;"nc";0.750902778;0.109466146;"notice2";"notice";"notice2.1"
"213631";"t27";4;"nc";0.632868924;0.104279514;"know2";"know";"know2.1"
"215415";"t16";4;"c";0.776851852;0.59537037;"realize2";"realize";"realize2.2"
"215415";"t19";4;"nc";0.756481481;0.794444444;"notice2";"notice";"notice2.1"
"215415";"t27";4;"nc";0.638888889;0.641666667;"know2";"know";"know2.1"
"219849";"t14";6;"c";0.549074074;0.835185185;"discover3";"discover";"discover3.2"
"219849";"t17";6;"nc";0.710185185;0.568518519;"realize3";"realize";"realize3.1"
"219849";"t22";6;"c";0.796296296;0.777777778;"notice3";"notice";"notice3.2"
"219849";"t30";6;"c";0.096296296;1;"know3";"know";"know3.2"
"245544";"t16";4;"c";0.126388889;0;"realize2";"realize";"realize2.2"
"245544";"t19";4;"nc";0.2125;0;"notice2";"notice";"notice2.1"
"245544";"t27";4;"nc";0.183333333;0;"know2";"know";"know2.1"
"255208";"t18";5;"c";0.772308838;0.677834393;"realize3";"realize";"realize3.2"
"255208";"t21";5;"nc";0.738964962;0.74915339;"notice3";"notice";"notice3.1"
"255208";"t29";5;"nc";0.224912386;0.414787681;"know3";"know";"know3.1"
"259265";"t1";1;"c";0.006315104;1;"realize1";"realize";"realize1.1"
"259265";"t4";1;"nc";0.765512153;0;"notice1";"notice";"notice1.1"
"259265";"t5";1;"c";0.128376736;1;"discover1";"discover";"discover1.2"
"259265";"t9";1;"c";0.83594184;1;"know1";"know";"know1.2"
"267925";"t1";1;"c";0.102174479;1;"realize1";"realize";"realize1.1"
"267925";"t4";1;"nc";0.732092014;0.94030816;"notice1";"notice";"notice1.1"
"267925";"t5";1;"c";0.223802083;0.917881944;"discover1";"discover";"discover1.2"
"267925";"t9";1;"c";0.787543403;1;"know1";"know";"know1.2"
"268409";"t10";2;"nc";1;0.007619048;"know1";"know";"know1.1"
"268409";"t2";2;"nc";1;0.011428571;"realize1";"realize";"realize1.2"
"268409";"t3";2;"c";0.983809524;0.992380952;"notice1";"notice";"notice1.2"
"268409";"t6";2;"nc";0.784761905;0.002857143;"discover1";"discover";"discover1.1"
"268409";"t7";2;"c";0.988571429;0.995238095;"aware1";"aware";"aware1.2"
"277323";"t10";2;"nc";1;0.684444444;"know1";"know";"know1.1"
"277323";"t2";2;"nc";0.878888889;0.014444444;"realize1";"realize";"realize1.2"
"277323";"t3";2;"c";0.5;1;"notice1";"notice";"notice1.2"
"277323";"t6";2;"nc";0.204444444;0.121111111;"discover1";"discover";"discover1.1"
"277323";"t7";2;"c";0.481111111;0.5;"aware1";"aware";"aware1.2"
"281030";"t12";3;"c";0.916666667;1;"discover2";"discover";"discover2.2"
"281030";"t28";3;"c";0.509259259;1;"know2";"know";"know2.2"
"284133";"t1";1;"c";0.700694444;1;"realize1";"realize";"realize1.1"
"284133";"t4";1;"nc";0.266666667;0;"notice1";"notice";"notice1.1"
"284133";"t5";1;"c";0.840972222;1;"discover1";"discover";"discover1.2"
"284133";"t9";1;"c";0.508333333;1;"know1";"know";"know1.2"
"294405";"t14";6;"c";0.633333333;0.591666667;"discover3";"discover";"discover3.2"
"294405";"t17";6;"nc";0.850925926;0.149074074;"realize3";"realize";"realize3.1"
"294405";"t22";6;"c";0.067592593;0.117592593;"notice3";"notice";"notice3.2"
"294405";"t30";6;"c";0.083333333;0.999074074;"know3";"know";"know3.2"
"295465";"t16";4;"c";0.350694444;0.209490741;"realize2";"realize";"realize2.2"
"295465";"t19";4;"nc";0.77662037;0.590277778;"notice2";"notice";"notice2.1"
"295465";"t27";4;"nc";0.716435185;0.425925926;"know2";"know";"know2.1"
"297586";"t18";5;"c";0.941533009;0.996397018;"realize3";"realize";"realize3.2"
"297586";"t21";5;"nc";0.757847468;0;"notice3";"notice";"notice3.1"
"297586";"t29";5;"nc";0.215434988;0.349321206;"know3";"know";"know3.1"
"329601";"t12";3;"c";0.08;1;"discover2";"discover";"discover2.2"
"329601";"t28";3;"c";0.17;1;"know2";"know";"know2.2"
"339997";"t16";4;"c";0.4375;0.713194444;"realize2";"realize";"realize2.2"
"339997";"t19";4;"nc";0.570138889;0.154166667;"notice2";"notice";"notice2.1"
"339997";"t27";4;"nc";0.777083333;0.378472222;"know2";"know";"know2.1"
"346209";"t14";6;"c";0.32999566;0.275729167;"discover3";"discover";"discover3.2"
"346209";"t17";6;"nc";0.654904514;0.310607639;"realize3";"realize";"realize3.1"
"346209";"t22";6;"c";0.5;0.818776042;"notice3";"notice";"notice3.2"
"346209";"t30";6;"c";0.008572049;1;"know3";"know";"know3.2"
"363777";"t14";6;"c";0.35;1;"discover3";"discover";"discover3.2"
"363777";"t17";6;"nc";0.8;0;"realize3";"realize";"realize3.1"
"363777";"t22";6;"c";0;1;"notice3";"notice";"notice3.2"
"363777";"t30";6;"c";0.114166673;1;"know3";"know";"know3.2"
"366064";"t10";2;"nc";0.727138643;0.331858407;"know1";"know";"know1.1"
"366064";"t2";2;"nc";0.735988201;0.218289086;"realize1";"realize";"realize1.2"
"366064";"t3";2;"c";0.343657817;0.724188791;"notice1";"notice";"notice1.2"
"366064";"t6";2;"nc";0.411504425;0.196165192;"discover1";"discover";"discover1.1"
"366064";"t7";2;"c";0.420353982;0.666666667;"aware1";"aware";"aware1.2"
"376593";"t12";3;"c";0.728703746;0.25;"discover2";"discover";"discover2.2"
"376593";"t28";3;"c";1;0.766666695;"know2";"know";"know2.2"
"391125";"t1";1;"c";0.285185213;0.166666667;"realize1";"realize";"realize1.1"
"391125";"t4";1;"nc";0.238888917;0.125925947;"notice1";"notice";"notice1.1"
"391125";"t5";1;"c";0.237037023;0.114814829;"discover1";"discover";"discover1.2"
"391125";"t9";1;"c";0.696296339;1;"know1";"know";"know1.2"
"398454";"t18";5;"c";0.768812436;0.572209459;"realize3";"realize";"realize3.2"
"398454";"t21";5;"nc";0.608877585;0.857751671;"notice3";"notice";"notice3.1"
"398454";"t29";5;"nc";0.626821458;0.700157457;"know3";"know";"know3.1"
"416361";"t10";2;"nc";0.830555675;0.378487723;"know1";"know";"know1.1"
"416361";"t2";2;"nc";0.933255709;0.57185783;"realize1";"realize";"realize1.2"
"416361";"t3";2;"c";0.630322802;0.909297734;"notice1";"notice";"notice1.2"
"416361";"t6";2;"nc";0.61221347;0.314265325;"discover1";"discover";"discover1.1"
"416361";"t7";2;"c";0.697678786;0.632367145;"aware1";"aware";"aware1.2"
"422844";"t12";3;"c";0.146927881;0.9495425;"discover2";"discover";"discover2.2"
"422844";"t28";3;"c";0.785686949;0.680152826;"know2";"know";"know2.2"
"431508";"t18";5;"c";0.225925926;1;"realize3";"realize";"realize3.2"
"431508";"t21";5;"nc";0.173148148;0.051851852;"notice3";"notice";"notice3.1"
"431508";"t29";5;"nc";0;0;"know3";"know";"know3.1"
"431644";"t14";6;"c";0.822222222;0.300925926;"discover3";"discover";"discover3.2"
"431644";"t17";6;"nc";0.760185185;0.551851852;"realize3";"realize";"realize3.1"
"431644";"t22";6;"c";0.756481481;0.566666667;"notice3";"notice";"notice3.2"
"431644";"t30";6;"c";0.037962963;1;"know3";"know";"know3.2"
"432276";"t14";6;"c";1;1;"discover3";"discover";"discover3.2"
"432276";"t17";6;"nc";1;0;"realize3";"realize";"realize3.1"
"432276";"t22";6;"c";1;0.761574074;"notice3";"notice";"notice3.2"
"432276";"t30";6;"c";1;1;"know3";"know";"know3.2"
"445151";"t12";3;"c";0.304354519;0.617271864;"discover2";"discover";"discover2.2"
"445151";"t28";3;"c";0.857236328;0.918061388;"know2";"know";"know2.2"
"464315";"t12";3;"c";1;1;"discover2";"discover";"discover2.2"
"464315";"t28";3;"c";0.068333333;1;"know2";"know";"know2.2"
"475841";"t12";3;"c";0.68819987;0.993712023;"discover2";"discover";"discover2.2"
"475841";"t28";3;"c";0.44000651;0.071761068;"know2";"know";"know2.2"
"487008";"t18";5;"c";0.815719589;0.26404125;"realize3";"realize";"realize3.2"
"487008";"t21";5;"nc";0.708042559;0.262711864;"notice3";"notice";"notice3.1"
"487008";"t29";5;"nc";0.205550037;0.21884347;"know3";"know";"know3.1"
"487406";"t10";2;"nc";0.613333333;0.302222222;"know1";"know";"know1.1"
"487406";"t2";2;"nc";1;0.344444444;"realize1";"realize";"realize1.2"
"487406";"t3";2;"c";0.677777778;0.911111111;"notice1";"notice";"notice1.2"
"487406";"t6";2;"nc";0.913333333;0.415555556;"discover1";"discover";"discover1.1"
"487406";"t7";2;"c";0.605555556;0.824444444;"aware1";"aware";"aware1.2"
"499712";"t16";4;"c";0.62859809;0.578645833;"realize2";"realize";"realize2.2"
"499712";"t19";4;"nc";0.17062934;0.092426215;"notice2";"notice";"notice2.1"
"499712";"t27";4;"nc";0.852751736;0.195911458;"know2";"know";"know2.1"
"510921";"t14";6;"c";0.234274507;1;"discover3";"discover";"discover3.2"
"510921";"t17";6;"nc";0.65831852;0;"realize3";"realize";"realize3.1"
"510921";"t22";6;"c";0.710282485;1;"notice3";"notice";"notice3.2"
"510921";"t30";6;"c";0.649344842;1;"know3";"know";"know3.2"
"531728";"t14";6;"c";0.684918467;1;"discover3";"discover";"discover3.2"
"531728";"t17";6;"nc";0.362074619;0.009217834;"realize3";"realize";"realize3.1"
"531728";"t22";6;"c";0.739757284;1;"notice3";"notice";"notice3.2"
"531728";"t30";6;"c";0;1;"know3";"know";"know3.2"
"547640";"t18";5;"c";0.802318387;0.985725233;"realize3";"realize";"realize3.2"
"547640";"t21";5;"nc";0.926988661;0.877224528;"notice3";"notice";"notice3.1"
"547640";"t29";5;"nc";0;0.049321493;"know3";"know";"know3.1"
"548106";"t18";5;"c";0.686300885;0.641486952;"realize3";"realize";"realize3.2"
"548106";"t21";5;"nc";0.372574531;0.390008319;"notice3";"notice";"notice3.1"
"548106";"t29";5;"nc";0.802398456;0.155308589;"know3";"know";"know3.1"
"556524";"t10";2;"nc";1;0.67;"know1";"know";"know1.1"
"556524";"t2";2;"nc";0.955;0.423333333;"realize1";"realize";"realize1.2"
"556524";"t3";2;"c";0.770833333;1;"notice1";"notice";"notice1.2"
"556524";"t6";2;"nc";0.9375;0.2875;"discover1";"discover";"discover1.1"
"556524";"t7";2;"c";1;1;"aware1";"aware";"aware1.2"
"557131";"t1";1;"c";0.707761863;0.181520939;"realize1";"realize";"realize1.1"
"557131";"t4";1;"nc";0.351886706;0.120946444;"notice1";"notice";"notice1.1"
"557131";"t5";1;"c";0.326647333;0.141137942;"discover1";"discover";"discover1.2"
"557131";"t9";1;"c";0.756978641;0.230737716;"know1";"know";"know1.2"
"558544";"t10";2;"nc";0.211572468;0.002402118;"know1";"know";"know1.1"
"558544";"t2";2;"nc";0.901180958;0;"realize1";"realize";"realize1.2"
"558544";"t3";2;"c";0.690376394;0.986156411;"notice1";"notice";"notice1.2"
"558544";"t6";2;"nc";0.642986332;0.043255703;"discover1";"discover";"discover1.1"
"558544";"t7";2;"c";0.700181324;0.986156411;"aware1";"aware";"aware1.2"
"570897";"t18";5;"c";0.736805556;1;"realize3";"realize";"realize3.2"
"570897";"t21";5;"nc";0.560416667;0.152777778;"notice3";"notice";"notice3.1"
"570897";"t29";5;"nc";0;0.070833333;"know3";"know";"know3.1"
"582829";"t1";1;"c";0.347777778;0.865019011;"realize1";"realize";"realize1.1"
"582829";"t4";1;"nc";0.452222222;0.109632446;"notice1";"notice";"notice1.1"
"582829";"t5";1;"c";0.622940431;0;"discover1";"discover";"discover1.2"
"582829";"t9";1;"c";0.742222222;0;"know1";"know";"know1.2"
"633649";"t14";6;"c";0.694506331;0.631523342;"discover3";"discover";"discover3.2"
"633649";"t17";6;"nc";0.918651829;0.545384749;"realize3";"realize";"realize3.1"
"633649";"t22";6;"c";0.614851326;0.766751578;"notice3";"notice";"notice3.2"
"633649";"t30";6;"c";0.742669803;0.710252098;"know3";"know";"know3.2"
"644656";"t1";1;"c";0.547998386;1;"realize1";"realize";"realize1.1"
"644656";"t4";1;"nc";0.276958686;0.1332626;"notice1";"notice";"notice1.1"
"644656";"t5";1;"c";0.352421332;0.455600382;"discover1";"discover";"discover1.2"
"644656";"t9";1;"c";0.665363566;0.329500122;"know1";"know";"know1.2"
"662729";"t10";2;"nc";0.683107639;0.192560764;"know1";"know";"know1.1"
"662729";"t2";2;"nc";0.903506944;0.106796875;"realize1";"realize";"realize1.2"
"662729";"t3";2;"c";0.489270833;0.047717014;"notice1";"notice";"notice1.2"
"662729";"t6";2;"nc";0.402252604;0.193962674;"discover1";"discover";"discover1.1"
"662729";"t7";2;"c";0.76031684;0.151458333;"aware1";"aware";"aware1.2"
"670791";"t10";2;"nc";0.932494778;0.602638866;"know1";"know";"know1.1"
"670791";"t2";2;"nc";0.98569675;0;"realize1";"realize";"realize1.2"
"670791";"t3";2;"c";0.651635968;1;"notice1";"notice";"notice1.2"
"670791";"t6";2;"nc";0.896624643;0.588085259;"discover1";"discover";"discover1.1"
"670791";"t7";2;"c";0.948339053;0.764754458;"aware1";"aware";"aware1.2"
"679954";"t12";3;"c";0.937037037;0.67962963;"discover2";"discover";"discover2.2"
"679954";"t28";3;"c";0.82037037;0.827777778;"know2";"know";"know2.2"
"686169";"t18";5;"c";0.640740741;0.62037037;"realize3";"realize";"realize3.2"
"686169";"t21";5;"nc";0.703703704;0.613888889;"notice3";"notice";"notice3.1"
"686169";"t29";5;"nc";0.613888889;0.241666667;"know3";"know";"know3.1"
"690434";"t1";1;"c";0.310590108;1;"realize1";"realize";"realize1.1"
"690434";"t4";1;"nc";0.414536763;0.5;"notice1";"notice";"notice1.1"
"690434";"t5";1;"c";0.294047593;1;"discover1";"discover";"discover1.2"
"690434";"t9";1;"c";0.595240048;1;"know1";"know";"know1.2"
"698633";"t12";3;"c";0.014463964;0.440443827;"discover2";"discover";"discover2.2"
"698633";"t28";3;"c";0.990513448;0.858089242;"know2";"know";"know2.2"
"710221";"t10";2;"nc";0.74875;0.33625;"know1";"know";"know1.1"
"710221";"t2";2;"nc";1;0.79875;"realize1";"realize";"realize1.2"
"710221";"t3";2;"c";0.7325;1;"notice1";"notice";"notice1.2"
"710221";"t6";2;"nc";0.98625;0.30125;"discover1";"discover";"discover1.1"
"710221";"t7";2;"c";1;1;"aware1";"aware";"aware1.2"
"710282";"t12";3;"c";0.725260417;0.736979167;"discover2";"discover";"discover2.2"
"710282";"t28";3;"c";0.252604167;0.643229167;"know2";"know";"know2.2"
"755538";"t18";5;"c";0.341380807;1;"realize3";"realize";"realize3.2"
"755538";"t21";5;"nc";0.650027994;0.930024512;"notice3";"notice";"notice3.1"
"755538";"t29";5;"nc";0;0.849281328;"know3";"know";"know3.1"
"772669";"t18";5;"c";0.821527778;1;"realize3";"realize";"realize3.2"
"772669";"t21";5;"nc";0.447222222;0.546527778;"notice3";"notice";"notice3.1"
"772669";"t29";5;"nc";0.395138889;0.577083333;"know3";"know";"know3.1"
"787827";"t12";3;"c";0.999074074;0.997222222;"discover2";"discover";"discover2.2"
"787827";"t28";3;"c";0.096296296;0.999074074;"know2";"know";"know2.2"
"794113";"t1";1;"c";0.14166666;0.996296353;"realize1";"realize";"realize1.1"
"794113";"t4";1;"nc";0.714814857;0.412962949;"notice1";"notice";"notice1.1"
"794113";"t5";1;"c";0.686111097;0.994444529;"discover1";"discover";"discover1.2"
"794113";"t9";1;"c";0;0.235185199;"know1";"know";"know1.2"
"802713";"t10";2;"nc";0.770833333;0.706944444;"know1";"know";"know1.1"
"802713";"t2";2;"nc";0.834027778;0.839583333;"realize1";"realize";"realize1.2"
"802713";"t3";2;"c";0.906944444;0.773611111;"notice1";"notice";"notice1.2"
"802713";"t6";2;"nc";0.329861111;0.180555556;"discover1";"discover";"discover1.1"
"802713";"t7";2;"c";0.459722222;0.86875;"aware1";"aware";"aware1.2"
"807252";"t12";3;"c";0.908333333;0.768518519;"discover2";"discover";"discover2.2"
"807252";"t28";3;"c";0.123148148;0.893518519;"know2";"know";"know2.2"
"853020";"t14";6;"c";0.144444444;1;"discover3";"discover";"discover3.2"
"853020";"t17";6;"nc";0.746296353;0.692592621;"realize3";"realize";"realize3.1"
"853020";"t22";6;"c";0.330555556;0.725;"notice3";"notice";"notice3.2"
"853020";"t30";6;"c";0;1;"know3";"know";"know3.2"
"888388";"t14";6;"c";0.412962963;0.894444444;"discover3";"discover";"discover3.2"
"888388";"t17";6;"nc";0.641666667;0.15;"realize3";"realize";"realize3.1"
"888388";"t22";6;"c";0.775925926;0.934259259;"notice3";"notice";"notice3.2"
"888388";"t30";6;"c";0.203703704;1;"know3";"know";"know3.2"
"913089";"t16";4;"c";0.219444487;1;"realize2";"realize";"realize2.2"
"913089";"t19";4;"nc";0.315740727;0.414814843;"notice2";"notice";"notice2.1"
"913089";"t27";4;"nc";0.378703718;0.45185188;"know2";"know";"know2.1"
"936068";"t12";3;"c";0.817343063;0.709134258;"discover2";"discover";"discover2.2"
"936068";"t28";3;"c";0.765550924;0.221731997;"know2";"know";"know2.2"
"952334";"t10";2;"nc";0.875113072;0.111764954;"know1";"know";"know1.1"
"952334";"t2";2;"nc";1;0;"realize1";"realize";"realize1.2"
"952334";"t3";2;"c";0.051873126;0.817399194;"notice1";"notice";"notice1.2"
"952334";"t6";2;"nc";0.789086742;0.007226536;"discover1";"discover";"discover1.1"
"952334";"t7";2;"c";0.367666219;0;"aware1";"aware";"aware1.2"
"952638";"t1";1;"c";0.205555556;0.5;"realize1";"realize";"realize1.1"
"952638";"t4";1;"nc";0.821111111;0.27;"notice1";"notice";"notice1.1"
"952638";"t5";1;"c";0.246666667;1;"discover1";"discover";"discover1.2"
"952638";"t9";1;"c";0.874444444;0.648888889;"know1";"know";"know1.2"
"961928";"t1";1;"c";0;0.656481496;"realize1";"realize";"realize1.1"
"961928";"t4";1;"nc";0.233333376;0.314814815;"notice1";"notice";"notice1.1"
"961928";"t5";1;"c";0.367592635;0.306481467;"discover1";"discover";"discover1.2"
"961928";"t9";1;"c";0.294444473;0.177777785;"know1";"know";"know1.2"
"963417";"t16";4;"c";0.897222222;0.853703704;"realize2";"realize";"realize2.2"
"963417";"t19";4;"nc";0.67962963;0.130555556;"notice2";"notice";"notice2.1"
"963417";"t27";4;"nc";0.072222222;0.415740741;"know2";"know";"know2.1"
"965425";"t1";1;"c";0.031080729;0.806861979;"realize1";"realize";"realize1.1"
"965425";"t4";1;"nc";0.349661458;0.583194444;"notice1";"notice";"notice1.1"
"965425";"t5";1;"c";0.717057292;0.592157118;"discover1";"discover";"discover1.2"
"965425";"t9";1;"c";0.733476563;0.276888021;"know1";"know";"know1.2"
"968841";"t12";3;"c";0.934027778;0.864583333;"discover2";"discover";"discover2.2"
"968841";"t28";3;"c";0.765277778;0.174305556;"know2";"know";"know2.2"
"969988";"t14";6;"c";0.76625;0.32;"discover3";"discover";"discover3.2"
"969988";"t17";6;"nc";1;0.095;"realize3";"realize";"realize3.1"
"969988";"t22";6;"c";0.00625;0.78625;"notice3";"notice";"notice3.2"
"969988";"t30";6;"c";0.18875;1;"know3";"know";"know3.2"
